"Year","PropAus"
1996,0.767343489795526
1997,0.766910183807585
1998,0.768358135802993
1999,0.769014094988614
2000,0.769516568430434
2001,0.768999100382571
2002,0.766570797356695
2003,0.763922539032194
2004,0.761546916867215
2005,0.75828050889879
2006,0.75395955728651
2007,0.748734374129762
2008,0.742203971146317
2009,0.735847229976088
2010,0.733048381840447
2011,0.73060696657268
2012,0.726653939543231
2013,0.722900927396394
2014,0.720121503691243
2015,0.717424584693057
2016,0.714264454938688
2017,0.709549529474768
2018,0.705674565722828
2019,0.701971740257936
2020,0.70084158176513
2021,0.706969207601469
2022,0.70468654740479
2023,0.693184073945238
