"Year","Scenario","Population","predicted"
2001,"Actual",19274701,FALSE
2002,"Actual",19495210,FALSE
2003,"Actual",19720737,FALSE
2004,"Actual",19932722,FALSE
2005,"Actual",20176844,FALSE
2006,"Actual",20450966,FALSE
2007,"Actual",20827622,FALSE
2008,"Actual",21249199,FALSE
2009,"Actual",21691653,FALSE
2010,"Actual",22031750,FALSE
2011,"Actual",22340024,FALSE
2012,"Actual",22733465,FALSE
2013,"Actual",23128129,FALSE
2014,"Actual",23475686,FALSE
2015,"Actual",23815995,FALSE
2016,"Actual",24190907,FALSE
2017,"Actual",24592588,FALSE
2018,"Actual",24963258,FALSE
2019,"Actual",25334826,FALSE
2020,"Actual",25649248,FALSE
2021,"Actual",25685412,FALSE
2022,"Actual",26014399,FALSE
2023,"Actual",26648878,FALSE
2024,"High",27095255,TRUE
2025,"High",27594464,TRUE
2026,"High",28086207,TRUE
2027,"High",28570009,TRUE
2028,"High",29042054,TRUE
2029,"High",29500502,TRUE
2030,"High",29944100,TRUE
2031,"High",30373698,TRUE
2032,"High",30788281,TRUE
2033,"High",31200900,TRUE
2034,"High",31611780,TRUE
2035,"High",32021148,TRUE
2036,"High",32429254,TRUE
2037,"High",32836248,TRUE
2038,"High",33242207,TRUE
2039,"High",33647144,TRUE
2040,"High",34050838,TRUE
2041,"High",34453048,TRUE
2042,"High",34853582,TRUE
2043,"High",35252197,TRUE
2044,"High",35648618,TRUE
2045,"High",36042657,TRUE
2046,"High",36434115,TRUE
2047,"High",36822929,TRUE
2048,"High",37209139,TRUE
2049,"High",37592743,TRUE
2050,"High",37973865,TRUE
2051,"High",38352711,TRUE
2052,"High",38729617,TRUE
2053,"High",39104964,TRUE
2054,"High",39479130,TRUE
2055,"High",39852558,TRUE
2056,"High",40225669,TRUE
2057,"High",40598856,TRUE
2058,"High",40972461,TRUE
2059,"High",41346753,TRUE
2060,"High",41721892,TRUE
2061,"High",42097990,TRUE
2062,"High",42474992,TRUE
2063,"High",42852792,TRUE
2064,"High",43231258,TRUE
2065,"High",43610243,TRUE
2066,"High",43989685,TRUE
2067,"High",44369451,TRUE
2068,"High",44749444,TRUE
2069,"High",45129481,TRUE
2070,"High",45509357,TRUE
2071,"High",45888867,TRUE
2024,"Medium",26971766,TRUE
2025,"Medium",27395011,TRUE
2026,"Medium",27805684,TRUE
2027,"Medium",28201094,TRUE
2028,"Medium",28581272,TRUE
2029,"Medium",28946317,TRUE
2030,"Medium",29294970,TRUE
2031,"Medium",29628141,TRUE
2032,"Medium",29944139,TRUE
2033,"Medium",30255082,TRUE
2034,"Medium",30561214,TRUE
2035,"Medium",30862815,TRUE
2036,"Medium",31160201,TRUE
2037,"Medium",31453335,TRUE
2038,"Medium",31742414,TRUE
2039,"Medium",32027609,TRUE
2040,"Medium",32308944,TRUE
2041,"Medium",32586368,TRUE
2042,"Medium",32859780,TRUE
2043,"Medium",33129057,TRUE
2044,"Medium",33394090,TRUE
2045,"Medium",33654800,TRUE
2046,"Medium",33911034,TRUE
2047,"Medium",34162704,TRUE
2048,"Medium",34409841,TRUE
2049,"Medium",34652393,TRUE
2050,"Medium",34890378,TRUE
2051,"Medium",35123948,TRUE
2052,"Medium",35353281,TRUE
2053,"Medium",35578653,TRUE
2054,"Medium",35800310,TRUE
2055,"Medium",36018580,TRUE
2056,"Medium",36233685,TRUE
2057,"Medium",36445900,TRUE
2058,"Medium",36655452,TRUE
2059,"Medium",36862520,TRUE
2060,"Medium",37067287,TRUE
2061,"Medium",37269885,TRUE
2062,"Medium",37470402,TRUE
2063,"Medium",37668912,TRUE
2064,"Medium",37865441,TRUE
2065,"Medium",38060030,TRUE
2066,"Medium",38252663,TRUE
2067,"Medium",38443367,TRUE
2068,"Medium",38632078,TRUE
2069,"Medium",38818718,TRUE
2070,"Medium",39003121,TRUE
2071,"Medium",39185129,TRUE
2024,"Low",26869019,TRUE
2025,"Low",27235315,TRUE
2026,"Low",27580551,TRUE
2027,"Low",27902964,TRUE
2028,"Low",28204391,TRUE
2029,"Low",28488756,TRUE
2030,"Low",28754774,TRUE
2031,"Low",29003323,TRUE
2032,"Low",29232681,TRUE
2033,"Low",29455940,TRUE
2034,"Low",29673319,TRUE
2035,"Low",29885092,TRUE
2036,"Low",30091582,TRUE
2037,"Low",30292784,TRUE
2038,"Low",30488939,TRUE
2039,"Low",30680281,TRUE
2040,"Low",30866912,TRUE
2041,"Low",31048868,TRUE
2042,"Low",31226136,TRUE
2043,"Low",31398665,TRUE
2044,"Low",31566394,TRUE
2045,"Low",31729273,TRUE
2046,"Low",31887151,TRUE
2047,"Low",32039916,TRUE
2048,"Low",32187550,TRUE
2049,"Low",32329935,TRUE
2050,"Low",32466996,TRUE
2051,"Low",32598771,TRUE
2052,"Low",32725307,TRUE
2053,"Low",32846736,TRUE
2054,"Low",32963157,TRUE
2055,"Low",33074749,TRUE
2056,"Low",33181609,TRUE
2057,"Low",33283914,TRUE
2058,"Low",33381830,TRUE
2059,"Low",33475528,TRUE
2060,"Low",33565236,TRUE
2061,"Low",33651180,TRUE
2062,"Low",33733579,TRUE
2063,"Low",33812657,TRUE
2064,"Low",33888603,TRUE
2065,"Low",33961606,TRUE
2066,"Low",34031792,TRUE
2067,"Low",34099312,TRUE
2068,"Low",34164217,TRUE
2069,"Low",34226525,TRUE
2070,"Low",34286154,TRUE
2071,"Low",34343015,TRUE
