"Age_Group","Sex","Num_of_Australians"
"0-4 years","Male",752557
"5-9 years","Male",814704
"10-14 years","Male",816592
"15-19 years","Male",749330
"20-24 years","Male",806829
"25-29 years","Male",886836
"30-34 years","Male",904395
"35-39 years","Male",901697
"40-44 years","Male",814410
"45-49 years","Male",802516
"50-54 years","Male",787164
"55-59 years","Male",754242
"60-64 years","Male",711159
"65-69 years","Male",625898
"70-74 years","Male",561275
"75-79 years","Male",392637
"80-84 years","Male",252476
"85 years and over","Male",210440
"0-4 years","Female",711258
"5-9 years","Female",771436
"10-14 years","Female",771460
"15-19 years","Female",708485
"20-24 years","Female",772711
"25-29 years","Female",884837
"30-34 years","Female",948691
"35-39 years","Female",937130
"40-44 years","Female",834435
"45-49 years","Female",833442
"50-54 years","Female",823781
"55-59 years","Female",787674
"60-64 years","Female",756943
"65-69 years","Female",672561
"70-74 years","Female",599493
"75-79 years","Female",429281
"80-84 years","Female",302129
"85 years and over","Female",331903
